zipf = 1  ctx = 0.0------------------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971742765856,2971742785076,19219,普通
2,2971742765777,2971742785524,19746,普通
3,2971742765897,2971742785916,20019,普通
4,2971742765814,2971742786987,21172,普通
5,2971742785271,2971742866592,81321,普通
6,2971742785895,2971742872742,86847,普通
7,2971742786218,2971742946376,160157,普通
8,2971742787526,2971742947474,159948,普通
9,2971742866874,2971742947703,80828,普通
10,2971742873071,2971742948233,75162,普通
11,2971742946755,2971743063113,116357,普通
12,2971742947779,2971743063968,116188,普通
13,2971742948565,2971743064777,116211,普通
14,2971742948580,2971743065874,117294,普通
15,2971743063444,2971743080069,16624,普通
16,2971743064242,2971743080618,16375,普通
17,2971743065168,2971743139171,74003,普通
18,2971743066216,2971743140209,73993,普通
19,2971743080454,2971743153920,73465,普通
20,2971743081241,2971743157378,76137,普通
21,2971743140143,2971743240314,100171,普通
22,2971743141312,2971743241137,99824,普通
23,2971743154324,2971743251437,97112,普通
24,2971743157883,2971743256373,98489,普通
25,2971743240557,2971743256669,16111,普通
26,2971743242568,2971743257217,14649,普通
27,2971743251764,2971743341118,89354,普通
28,2971743256773,2971743345765,88991,普通
29,2971743256954,2971743346438,89484,普通
30,2971743257438,2971743347511,90073,普通
31,2971743341664,2971743445528,103863,普通
32,2971743346229,2971743446593,100363,普通
33,2971743346752,2971743447150,100398,普通
34,2971743347964,2971743447609,99645,普通
35,2971743445898,2971743547539,101640,普通
36,2971743446890,2971743548064,101174,普通
37,2971743447786,2971743553559,105772,普通
38,2971743448371,2971743554160,105788,普通
39,2971743547910,2971743628154,80244,普通
40,2971743548429,2971743629106,80676,普通
41,2971743553943,2971743630116,76172,普通
42,2971743616973,2971743631198,14224,普通
43,2971743628307,2971743742183,113876,普通
44,2971743629488,2971743751992,122503,普通
45,2971743630767,2971743753199,122432,普通
46,2971743631961,2971743754115,122153,普通
47,2971743742325,2971743755149,12823,普通
48,2971743752219,2971743836546,84326,普通
49,2971743753698,2971743841902,88203,普通
50,2971743754441,2971743842767,88326,普通
51,2971743755715,2971743843036,87320,普通
52,2971743836832,2971743937938,101105,普通
53,2971743842821,2971743953057,110235,普通
54,2971743843097,2971743953378,110281,普通
55,2971743843528,2971743954313,110785,普通
56,2971743938826,2971744021286,82459,普通
57,2971743953641,2971744031941,78299,普通
58,2971743953863,2971744032630,78766,普通
59,2971743955180,2971744033478,78298,普通
60,2971744022135,2971744131603,109467,普通
61,2971744032319,2971744142928,110609,普通
62,2971744032938,2971744146086,113148,普通
63,2971744034181,2971744146740,112558,普通
64,2971744132986,2971744147006,14019,普通
65,2971744143334,2971744252798,109464,普通
66,2971744146390,2971744345914,199524,普通
67,2971744237018,2971744347046,110028,普通
68,2971744237118,2971744347895,110777,普通
69,2971744253245,2971744348927,95682,普通
70,2971744346538,2971744362956,16418,普通
71,2971744347332,2971744435527,88195,普通
72,2971744348227,2971744435763,87536,普通
73,2971744350224,2971744436474,86250,普通
74,2971744367081,2971744534685,167604,普通
75,2971744435809,2971744537779,101969,普通
76,2971744436027,2971744538254,102226,普通
77,2971744437059,2971744538406,101346,普通
78,2971744536171,2971744554919,18748,普通
79,2971744538056,2971744614570,76513,普通
80,2971744538710,2971744616326,77616,普通
81,2971744539275,2971744617005,77730,普通
82,2971744555089,2971744624309,69219,普通
83,2971744614927,2971744689125,74198,普通
84,2971744616989,2971744689666,72676,普通
85,2971744617558,2971744694204,76646,普通
86,2971744624711,2971744694947,70236,普通
87,2971744689596,2971744818973,129376,普通
88,2971744689925,2971744819971,130046,普通
89,2971744694516,2971744821056,126540,普通
90,2971744696296,2971744821935,125638,普通
91,2971744819244,2971744876987,57743,普通
92,2971744820222,2971744878138,57916,普通
93,2971744821231,2971744878321,57090,普通
94,2971744822326,2971744878485,56158,普通
95,2971744877613,2971744891156,13542,普通
96,2971744878739,2971744964849,86110,普通
97,2971744879079,2971744965380,86301,普通
98,2971744878980,2971744970216,91236,普通
99,2971744891478,2971744978827,87348,普通
100,2971744965190,2971744982089,16899,普通

=== 执行统计 ===
第一笔交易开始时间: 2971742765856 微秒
最后一笔交易完成时间: 2971744982089 微秒
前100笔交易总执行时间(包含跨链延迟): 2216232 微秒
前100笔交易总执行时间(不含跨链延迟): 2216232 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971744694749,2971744712814,18065,普通
2,2971744694998,2971744713582,18583,普通
3,2971744694831,2971744718249,23418,普通
4,2971744695490,2971744839280,143789,普通
5,2971744713139,2971744845090,131950,普通
6,2971744713905,2971744849686,135781,普通
7,2971744839756,2971744927466,87710,普通
8,2971744840153,2971744927592,87438,普通
9,2971744845268,2971744930840,85572,普通
10,2971744851699,2971744931485,79785,普通
11,2971744928144,2971745051640,123495,普通
12,2971744928393,2971745052359,123966,普通
13,2971744931441,2971745055814,124373,普通
14,2971744931752,2971745056053,124300,普通
15,2971745052131,2971745158069,105938,普通
16,2971745052662,2971745158477,105814,普通
17,2971745056058,2971745159046,102987,普通
18,2971745056755,2971745159265,102510,普通
19,2971745158272,2971745173095,14822,普通
20,2971745158747,2971745277186,118439,普通
21,2971745159506,2971745278065,118558,普通
22,2971745159603,2971745279323,119720,普通
23,2971745173681,2971745354165,180483,普通
24,2971745277645,2971745354866,77220,普通
25,2971745278516,2971745355116,76600,普通
26,2971745279657,2971745356166,76508,普通
27,2971745354400,2971745371386,16985,普通
28,2971745355242,2971745372111,16868,普通
29,2971745355494,2971745443013,87518,普通
30,2971745356958,2971745443365,86406,普通
31,2971745371628,2971745459291,87663,普通
32,2971745372381,2971745459589,87207,普通
33,2971745443642,2971745554755,111112,普通
34,2971745443984,2971745555634,111650,普通
35,2971745459574,2971745561599,102024,普通
36,2971745460094,2971745561814,101720,普通
37,2971745555724,2971745698688,142963,普通
38,2971745555928,2971745703567,147638,普通
39,2971745561837,2971745708368,146530,普通
40,2971745562093,2971745709215,147121,普通
41,2971745698827,2971745710421,11594,普通
42,2971745703776,2971745791677,87900,普通
43,2971745708863,2971745802743,93879,普通
44,2971745709679,2971745803036,93356,普通
45,2971745710576,2971745803526,92950,普通
46,2971745792103,2971745942716,150612,普通
47,2971745803479,2971745951434,147955,普通
48,2971745803429,2971745952533,149103,普通
49,2971745804107,2971745952766,148658,普通
50,2971745942993,2971745953602,10609,普通
51,2971745951589,2971746071145,119556,普通
52,2971745952699,2971746071636,118937,普通
53,2971745952922,2971746079235,126313,普通
54,2971745957847,2971746204922,247074,普通
55,2971746075158,2971746205519,130360,普通
56,2971746072027,2971746205949,133922,普通
57,2971746079413,2971746207948,128534,普通
58,2971746205085,2971746295463,90378,普通
59,2971746205735,2971746296659,90923,普通
60,2971746206463,2971746297040,90576,普通
61,2971746208155,2971746297180,89024,普通
62,2971746295627,2971746425891,130264,普通
63,2971746296941,2971746430824,133883,普通
64,2971746297249,2971746431426,134176,普通
65,2971746299631,2971746431694,132062,普通
66,2971746426232,2971746432574,6341,普通
67,2971746430975,2971746550151,119176,普通
68,2971746431753,2971746551268,119514,普通
69,2971746432110,2971746552621,120511,普通
70,2971746433004,2971746562096,129091,普通
71,2971746550355,2971746678224,127869,普通
72,2971746551482,2971746678441,126959,普通
73,2971746558023,2971746679366,121343,普通
74,2971746562252,2971746690892,128640,普通
75,2971746678401,2971746692320,13919,普通
76,2971746678583,2971746692568,13985,普通
77,2971746679678,2971746781457,101778,普通
78,2971746691072,2971746792293,101220,普通
79,2971746693154,2971746792764,99610,普通
80,2971746693264,2971746793430,100166,普通
81,2971746781726,2971746794218,12491,普通
82,2971746792481,2971746894820,102338,普通
83,2971746793266,2971746894945,101679,普通
84,2971746793888,2971746896715,102826,普通
85,2971746794533,2971746898572,104039,普通
86,2971746895176,2971747013591,118415,普通
87,2971746895128,2971747127177,232049,普通
88,2971746896853,2971747128074,231221,普通
89,2971747008256,2971747132174,123917,普通
90,2971747013740,2971747132458,118717,普通
91,2971747127420,2971747278191,150771,普通
92,2971747128329,2971747278302,149973,普通
93,2971747132356,2971747278684,146327,普通
94,2971747132672,2971747279559,146886,普通
95,2971747278358,2971747293308,14949,普通
96,2971747278545,2971747297427,18881,普通
97,2971747278837,2971747385635,106798,普通
98,2971747279800,2971747392894,113094,普通
99,2971747293552,2971747401441,107888,普通
100,2971747385660,2971747401943,16282,普通

=== 执行统计 ===
第一笔交易开始时间: 2971744694749 微秒
最后一笔交易完成时间: 2971747401943 微秒
前100笔交易总执行时间(包含跨链延迟): 2707194 微秒
前100笔交易总执行时间(不含跨链延迟): 2707194 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971746699278,2971746716647,17368,普通
2,2971746699297,2971746719850,20553,普通
3,2971746699439,2971746720546,21107,普通
4,2971746699452,2971746721347,21894,普通
5,2971746716889,2971746822151,105261,普通
6,2971746720875,2971746828097,107222,普通
7,2971746721272,2971746921140,199868,普通
8,2971746721656,2971746921303,199646,普通
9,2971746822427,2971746921589,99162,普通
10,2971746828924,2971746937532,108608,普通
11,2971746921501,2971746939256,17755,普通
12,2971746921758,2971746939588,17829,普通
13,2971746921978,2971747023056,101077,普通
14,2971746938171,2971747037146,98975,普通
15,2971746939541,2971747038289,98747,普通
16,2971747021818,2971747039358,17540,普通
17,2971747023205,2971747039808,16603,普通
18,2971747037699,2971747158544,120845,普通
19,2971747039086,2971747158660,119573,普通
20,2971747039624,2971747159636,120012,普通
21,2971747143853,2971747160733,16880,普通
22,2971747159211,2971747303299,144088,普通
23,2971747159321,2971747405140,245819,普通
24,2971747160047,2971747405683,245635,普通
25,2971747297014,2971747413782,116767,普通
26,2971747303455,2971747414370,110915,普通
27,2971747405571,2971747515800,110228,普通
28,2971747406141,2971747516169,110028,普通
29,2971747414228,2971747517599,103370,普通
30,2971747414805,2971747517637,102831,普通
31,2971747515971,2971747622060,106088,普通
32,2971747516610,2971747623029,106418,普通
33,2971747518006,2971747624095,106088,普通
34,2971747518180,2971747625179,106998,普通
35,2971747622240,2971747639188,16948,普通
36,2971747623608,2971747639548,15939,普通
37,2971747624340,2971747640444,16104,普通
38,2971747626461,2971747641440,14979,普通
39,2971747639838,2971747724831,84992,普通
40,2971747640026,2971747837878,197852,普通
41,2971747727016,2971747843431,116415,普通
42,2971747724961,2971747844244,119283,普通
43,2971747727162,2971747845040,117878,普通
44,2971747838055,2971747845811,7755,普通
45,2971747843887,2971747852556,8669,普通
46,2971747844710,2971747998728,154018,普通
47,2971747845352,2971748007508,162155,普通
48,2971747846186,2971748010153,163967,普通
49,2971747852774,2971748011488,158714,普通
50,2971747999256,2971748135950,136694,普通
51,2971748008503,2971748147775,139272,普通
52,2971748010469,2971748148735,138266,普通
53,2971748012293,2971748148822,136528,普通
54,2971748136260,2971748149522,13261,普通
55,2971748148037,2971748312855,164818,普通
56,2971748149079,2971748326814,177735,普通
57,2971748149156,2971748327633,178476,普通
58,2971748149957,2971748461733,311775,普通
59,2971748313037,2971748462499,149462,普通
60,2971748327107,2971748596208,269101,普通
61,2971748458797,2971748596371,137574,普通
62,2971748461881,2971748596989,135108,普通
63,2971748462868,2971748597914,135045,普通
64,2971748596423,2971748610363,13940,普通
65,2971748596570,2971748610618,14047,普通
66,2971748597180,2971748611598,14417,普通
67,2971748598329,2971748735276,136947,普通
68,2971748610547,2971748752600,142052,普通
69,2971748610866,2971748753156,142290,普通
70,2971748612182,2971748761348,149166,普通
71,2971748735730,2971748851931,116200,普通
72,2971748752846,2971748864527,111681,普通
73,2971748761473,2971748958054,196580,普通
74,2971748761723,2971748958932,197209,普通
75,2971748852334,2971748959056,106722,普通
76,2971748865145,2971749049328,184183,普通
77,2971748958441,2971749050259,91817,普通
78,2971748959536,2971749050901,91364,普通
79,2971748959724,2971749051785,92061,普通
80,2971749049723,2971749153607,103883,普通
81,2971749050588,2971749154192,103604,普通
82,2971749051163,2971749154450,103287,普通
83,2971749052321,2971749154695,102374,普通
84,2971749153952,2971749257460,103507,普通
85,2971749154355,2971749263640,109285,普通
86,2971749154957,2971749268598,113641,普通
87,2971749155029,2971749269099,114069,普通
88,2971749258023,2971749355142,97118,普通
89,2971749264031,2971749362230,98198,普通
90,2971749268980,2971749362690,93710,普通
91,2971749269461,2971749363744,94283,普通
92,2971749355817,2971749507202,151385,普通
93,2971749362412,2971749518694,156282,普通
94,2971749362992,2971749519502,156510,普通
95,2971749364308,2971749520521,156213,普通
96,2971749513879,2971749521791,7912,普通
97,2971749519653,2971749686992,167338,普通
98,2971749521991,2971749687943,165951,普通
99,2971749525466,2971749692996,167529,普通
100,2971749525507,2971749693131,167623,普通

=== 执行统计 ===
第一笔交易开始时间: 2971746699278 微秒
最后一笔交易完成时间: 2971749693131 微秒
前100笔交易总执行时间(包含跨链延迟): 2993852 微秒
前100笔交易总执行时间(不含跨链延迟): 2993852 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2971747849137,2971747864038,14901,普通
2,2971747849587,2971747867941,18354,普通
3,2971747849893,2971747869005,19112,普通
4,2971747850596,2971747996231,145634,普通
5,2971747864425,2971748014915,150489,普通
6,2971747868293,2971748020802,152508,普通
7,2971747869594,2971748020847,151253,普通
8,2971747999107,2971748138875,139768,普通
9,2971748015344,2971748148937,133593,普通
10,2971748135884,2971748149780,13896,普通
11,2971748136610,2971748155385,18774,普通
12,2971748141489,2971748301953,160464,普通
13,2971748150519,2971748313603,163083,普通
14,2971748151652,2971748314880,163227,普通
15,2971748155867,2971748318659,162792,普通
16,2971748302479,2971748449308,146829,普通
17,2971748313788,2971748449915,136126,普通
18,2971748317202,2971748453847,136644,普通
19,2971748318890,2971748458125,139235,普通
20,2971748449464,2971748595744,146280,普通
21,2971748450058,2971748598906,148848,普通
22,2971748454068,2971748605952,151883,普通
23,2971748458475,2971748607162,148687,普通
24,2971748595990,2971748730451,134461,普通
25,2971748599060,2971748737088,138028,普通
26,2971748606134,2971748744580,138445,普通
27,2971748607893,2971748748730,140836,普通
28,2971748730591,2971748751906,21315,普通
29,2971748737256,2971748898297,161041,普通
30,2971748748880,2971748898838,149958,普通
31,2971748748897,2971748902284,153386,普通
32,2971748887612,2971748902744,15131,普通
33,2971748898877,2971749006121,107244,普通
34,2971748899081,2971749006292,107210,普通
35,2971748902510,2971749012568,110057,普通
36,2971748903738,2971749013641,109903,普通
37,2971749006320,2971749018344,12023,普通
38,2971749006756,2971749115426,108670,普通
39,2971749012823,2971749119983,107159,普通
40,2971749014076,2971749216520,202443,普通
41,2971749018564,2971749220773,202209,普通
42,2971749115891,2971749221059,105167,普通
43,2971749120298,2971749221510,101212,普通
44,2971749216933,2971749223455,6522,普通
45,2971749221018,2971749318162,97143,普通
46,2971749221190,2971749318709,97518,普通
47,2971749221763,2971749319682,97918,普通
48,2971749226865,2971749323890,97024,普通
49,2971749318344,2971749340277,21933,普通
